	entity	frequency
83	Arca	5
51	Bahurim	4
41	Baana	4
72	Recab	4
38	Rizpa	4
71	Aja	4
56	Maaca	4
82	Joiada	4
11	Tecoa	3
78	Rehob	3
33	Simea	3
34	Amiel	3
101	Jonadab	3
103	Refaim	3
3	Hanún	3
65	Gera	3
74	Lo	3
75	Helam	2
46	Benaía	2
28	Sobac	2
27	Josafat	2
37	Rogelim	2
26	Dodo	2
25	Elhanán	2
0	Gob	2
22	Casa	2
94	Uza	2
98	Betsabé	2
68	Quimam	2
7	Maquir	2
5	Ahilud	2
104	Talmai	2
42	Bet	2
73	Mebunai	1
70	Micaía	1
76	Amma	1
69	Sira	1
77	Nacón	1
67	Lehi	1
66	Sefatías	1
79	Zela	1
85	Cis	1
80	Gía	1
81	Bitrón	1
105	Milo	1
102	Gilo	1
100	Danjaán	1
99	Ribai	1
97	Seraías	1
96	Elisúa	1
95	Bani	1
93	Gitaim	1
92	Cabseel	1
91	Jedidías	1
90	Hiram	1
89	Jaser	1
88	Abimelec	1
87	Iques	1
86	Altísimo	1
63	Jafía	1
84	Berotai	1
64	Tebes	1
53	Adonías	1
62	Sobab	1
61	Beta	1
29	Quileab	1
24	Ahío	1
23	Amiud	1
21	Ira	1
20	Gesuri	1
19	Maharai	1
18	Sibecai	1
17	Haguit	1
16	Itream	1
15	Meteg	1
14	Gezer	1
13	Tabernáculo	1
12	Hodsi	1
10	Barim	1
9	Beerot	1
8	Toi	1
6	Eliada	1
4	Isbi	1
2	Age	1
30	Sal	1
31	Gaas	1
32	Jasén	1
50	Paarai	1
60	Naharai	1
59	Abital	1
58	Ahasbai	1
57	Eliam	1
55	Adino	1
54	Ahíam	1
1	Egla	1
52	Saf	1
49	Azmavet	1
35	Sarar	1
48	Rogel	1
47	Elifelet	1
45	Hidai	1
44	Itra	1
43	Jaare	1
40	Gareb	1
39	Elica	1
36	Olivos	1
106	Jazer	1
