	Source	Target	Weight	Type	book
15	#per1	#per14	22	Undirected	1JO
43	#org0	#per14	18	Undirected	1JO
38	#org164	#per14	9	Undirected	1JO
26	#per14	#per20	7	Undirected	1JO
17	#org19	#per14	7	Undirected	1JO
49	#org0	#per1	7	Undirected	1JO
48	#org0	#org19	6	Undirected	1JO
8	#org0	#org164	4	Undirected	1JO
9	#per14	#tim3	4	Undirected	1JO
1	#org19	#per20	3	Undirected	1JO
25	#per1	#per20	3	Undirected	1JO
0	#org164	#tim3	3	Undirected	1JO
6	#per1	#per17	3	Undirected	1JO
5	#per14	#per17	3	Undirected	1JO
47	#org0	#per20	3	Undirected	1JO
11	#per1	#tim3	3	Undirected	1JO
7	#org19	#org37	2	Undirected	2JO
32	#org164	#per20	2	Undirected	1JO
4	#org18	#org37	2	Undirected	2JO
27	#org164	#wor1	2	Undirected	1JO
41	#per20	#tim3	2	Undirected	1JO
5	#per1	#per14	2	Undirected	2JO
21	#org18	#per14	2	Undirected	1JO
14	#org164	#org19	2	Undirected	1JO
4	#per14	#wor1	2	Undirected	1JO
7	#org14	#org164	2	Undirected	1JO
13	#org19	#per1	2	Undirected	1JO
20	#tim3	#wor1	2	Undirected	1JO
6	#org18	#per25	1	Undirected	2JO
2	#org37	#per14	1	Undirected	3JO
4	#org37	#per844	1	Undirected	3JO
45	#org14	#tim2	1	Undirected	1JO
46	#org164	#per4	1	Undirected	1JO
3	#org18	#org37	1	Undirected	3JO
1	#per25	#per843	1	Undirected	3JO
0	#org19	#per20	1	Undirected	2JO
1	#org37	#per14	1	Undirected	2JO
2	#org37	#tim3	1	Undirected	2JO
3	#org19	#per1	1	Undirected	2JO
0	#org18	#per843	1	Undirected	3JO
9	#per1	#per20	1	Undirected	2JO
8	#org37	#per25	1	Undirected	2JO
44	#org18	#org19	1	Undirected	1JO
33	#org0	#org14	1	Undirected	1JO
42	#org14	#per14	1	Undirected	1JO
40	#per142	#per43	1	Undirected	1JO
2	#org14	#per20	1	Undirected	1JO
3	#org0	#org18	1	Undirected	1JO
10	#org103	#org164	1	Undirected	1JO
12	#per17	#pla18	1	Undirected	1JO
16	#per4	#tim3	1	Undirected	1JO
18	#org164	#tim2	1	Undirected	1JO
19	#org164	#per1	1	Undirected	1JO
22	#per1	#pla18	1	Undirected	1JO
23	#org18	#per17	1	Undirected	1JO
24	#per14	#pla18	1	Undirected	1JO
28	#org18	#per1	1	Undirected	1JO
29	#per20	#tim2	1	Undirected	1JO
30	#org0	#tim2	1	Undirected	1JO
31	#per20	#wor1	1	Undirected	1JO
34	#per20	#per43	1	Undirected	1JO
35	#per142	#per20	1	Undirected	1JO
36	#per14	#per4	1	Undirected	1JO
37	#org18	#per20	1	Undirected	1JO
39	#per17	#pla41	1	Undirected	1JO
5	#per14	#per843	1	Undirected	3JO
